,ID,CAP,Età,Data_evento_1,Feat_A_1,Feat_A_2,Feat_A_3,Feat_A_4,Feat_A_5,Feat_A_6,Data_evento_2,Feat_B_1,Feat_B_2,Feat_B_3,Feat_B_4,Feat_B_5,Feat_B_6,Target_1,Feat_C_1,Feat_C_2,Feat_C_3,Feat_C_4,Feat_C_6,Feat_C_5,Target_2
15,15,00060,34.0,13493692800.0,1.07,1.54,4.96,496.0,17.2112,11.176103896103896,13493692800.0,8.0,7.4,140.0,1120.0,0.5,168.0,0.0,16.9,21.8,38.7,22.477064220183497,2.0,0.0,0.0
16,16,,,13490064000.0,,,,,,,,,,,,,,,14.3,14.1,28.4,1.398601398601406,0.0,0.0,0.0
17,17,,,13398480000.0,,,,,,,,,,,,,,,18.0,20.0,38.0,10.0,2.5,0.0,0.0
18,18,00171,21.0,13402972800.0,5.49,2.64,5.84,584.0,20.2648,7.676060606060606,13401072000.0,2.0,7.2,40.0,80.0,0.7,2.88,0.0,7.8,9.2,17.0,15.21739130434782,1.5,0.0,0.0
19,19,NA,,13519094400.0,5.32,2.61,3.06,306.0,10.618200000000002,4.068275862068966,13502505600.0,,,,,,,,15.7,15.7,31.4,0.0,3.0,2.0,0.0
20,20,,,13368931200.0,,,,,,,,,,,,,,,11.0,8.0,19.0,27.27272727272727,3.0,0.0,0.0
21,21,,,13485571200.0,,,,,,,,,,,,,,,14.0,8.0,22.0,42.857142857142854,0.0,0.0,0.0
22,22,,,13514083200.0,,,,,,,,,,,,,,,20.8,18.6,39.400000000000006,10.576923076923073,0.0,0.0,0.0
23,23,00043,30.0,13496630400.0,2.78,3.35,,,,,13496630400.0,1.5,7.5,75.0,112.5,0.7,14.625,0.0,13.0,12.9,25.9,0.7692307692307665,2.0,0.0,0.0
24,24,00173,53.0,13409712000.0,4.32,4.32,2.8,280.0,9.716,2.249074074074074,13404182400.0,,,,,,,,14.5,7.4,21.9,48.96551724137931,0.0,0.0,0.0
25,25,,,13520217600.0,,,,,,,,,,,,,,,9.7,12.9,22.6,24.806201550387605,2.0,0.0,0.0
26,26,00041,40.0,13397961600.0,4.15,1.58,7.74,774.0,26.8578,16.998607594936708,13473648000.0,3.0,7.2,12.0,36.0,0.6,0.36,0.0,17.0,28.0,45.0,39.285714285714285,0.0,0.0,0.0
27,27,02040,54.0,13599619200.0,8.9,2.9,1.85,185.0,6.419500000000001,2.2136206896551727,13599619200.0,,,,,,,,22.0,15.4,37.4,30.0,4.0,0.0,0.0
28,28,,,13435027200.0,,,,,,,,,,,,,,,15.4,12.0,27.4,22.07792207792208,0.0,1.5,0.0
29,29,00172,41.0,13442284800.0,12.64,7.06,2.75,275.0,9.5425,1.3516288951841362,13442716800.0,4.0,7.4,0.0,0.0,0.5,0.0,1.0,15.7,12.3,28.0,21.656050955414006,2.5,0.0,0.0
30,30,,,13487040000.0,,,,,,,,,,,,,,,4.5,4.9,9.4,8.163265306122454,2.0,0.0,0.0
31,31,00079,23.0,13499136000.0,5.28,2.83,3.87,387.0,13.4289,4.745194346289753,13504492800.0,2.5,7.5,12.0,30.0,1.0,0.54,0.0,12.3,7.7,20.0,37.398373983739845,0.0,0.0,0.0
32,32,00183,20.0,13394851200.0,9.2,3.6,6.88,688.0,23.8736,6.631555555555555,13396406400.0,3.0,7.4,6.0,18.0,0.3,1.26,0.0,12.0,12.0,24.0,0.0,1.5,0.0,0.0
33,33,,,13339209600.0,,,,,,,,,,,,,,,13.0,16.0,29.0,18.75,0.0,1.0,0.0
34,34,,,13451443200.0,,,,,,,,,,,,,,,9.1,10.0,19.1,9.000000000000004,0.0,0.0,0.0
35,35,,,13494643200.0,,,,,,,,,,,,,,,22.0,20.8,42.8,5.4545454545454515,0.0,0.0,0.0
36,36,,,13365043200.0,,,,,,,,,,,,,,,13.0,12.0,25.0,7.6923076923076925,0.0,0.0,0.0
37,37,00141,18.0,13588041600.0,1.02,5.11,11.13,1113.0,38.621100000000006,7.557945205479452,13588041600.0,2.8,7.4,46.0,128.79999999999998,1.3,17.001599999999996,0.0,12.8,12.7,25.5,0.7812500000000111,3.0,0.0,0.0
38,38,NA,35.0,13494297600.0,3.23,3.01,5.22,522.0,18.1134,6.017740863787376,13491619200.0,4.2,7.3,40.0,168.0,0.6,20.412,0.0,10.8,9.9,20.700000000000003,8.333333333333336,3.5,0.0,0.0
39,39,,,13390876800.0,,,,,,,,,,,,,,,13.0,21.0,34.0,38.095238095238095,2.5,0.0,0.0
40,40,00197,29.0,13548211200.0,1.03,3.36,8.23,823.0,28.558100000000003,8.499434523809525,13548211200.0,,,,,,,,26.5,24.6,51.1,7.169811320754711,3.0,0.0,0.0
41,41,,,13397529600.0,,,,,,,,,,,,,,,19.0,11.0,30.0,42.10526315789473,4.0,1.5,0.0
42,42,NA,,13378521600.0,4.22,2.28,5.31,531.0,18.4257,8.081447368421053,13377916800.0,,,,,,,,11.0,12.0,23.0,8.333333333333332,2.0,0.0,0.0
43,43,00185,44.0,13419388800.0,8.16,3.93,5.85,585.0,20.2995,5.165267175572518,13413081600.0,4.0,7.6,6.0,24.0,0.3,0.36,0.0,26.5,20.6,47.1,22.26415094339622,0.0,0.0,0.0
44,44,,,13472611200.0,,,,,,,,,,,,,,,19.2,7.5,26.7,60.9375,0.0,0.0,0.0
45,45,04022,27.0,13461984000.0,2.6,3.81,8.28,827.9999999999999,28.7316,7.541102362204724,13482288000.0,1.0,7.5,52.0,52.0,0.6,4.186,0.0,3.1,22.8,25.900000000000002,86.40350877192982,1.5,0.0,0.0
46,46,00010,29.0,13489459200.0,3.31,4.6,5.66,566.0,19.6402,4.269608695652174,13489459200.0,1.5,7.4,10.0,15.0,1.2,0.9,0.0,14.8,16.0,30.8,7.499999999999996,2.0,0.0,0.0
47,47,,,13433212800.0,,,,,,,,,,,,,,,12.2,10.3,22.5,15.573770491803268,3.0,0.0,0.0
48,48,00134,37.0,13453862400.0,2.67,1.66,5.63,563.0,19.5361,11.768734939759037,13449024000.0,2.0,7.4,21.0,42.0,0.4,0.336,0.0,17.9,15.9,33.8,11.17318435754189,0.0,0.0,0.0
49,49,,,13357353600.0,,,,,,,,,,,,,,,21.0,20.0,41.0,4.761904761904762,2.0,0.0,0.0
50,50,00185,56.0,13442976000.0,7.75,4.36,9.58,958.0,33.2426,7.624449541284404,13435632000.0,,,,,,,,32.5,35.0,67.5,7.142857142857142,0.0,0.0,0.0
51,51,,,13345257600.0,,,,,,,,,,,,,,,16.0,18.3,34.3,12.568306010928964,2.0,0.0,0.0
52,52,,,13427769600.0,,,,,,,,,,,,,,,17.4,17.4,34.8,0.0,2.0,0.0,0.0
53,53,00031,40.0,13423536000.0,7.5,3.01,3.4,340.0,11.798,3.9196013289036546,13419734400.0,5.8,7.6,20.0,116.0,0.8,4.35,0.0,11.0,8.8,19.8,19.999999999999993,3.0,0.0,0.0
54,54,,,13446000000.0,,,,,,,,,,,,,,,11.0,11.7,22.7,5.982905982905977,0.0,0.0,0.0
55,55,,,13411440000.0,,,,,,,,,,,,,,,15.7,14.9,30.6,5.095541401273879,2.0,0.0,0.0
56,56,00159,37.0,13412995200.0,4.1,2.91,6.8,680.0,23.596,8.108591065292096,13314067200.0,3.0,7.6,28.0,84.0,0.2,16.8,0.0,15.9,8.4,24.3,47.16981132075472,0.0,0.0,0.0
57,57,,,13419907200.0,,,,,,,,,,,,,,,6.8,7.2,14.0,5.55555555555556,2.0,0.0,0.0
58,58,,31.0,13378867200.0,,,,,,,,,,,,,,,22.0,0.0,22.0,100.0,0.0,0.0,0.0
59,59,00037,34.0,13513564800.0,5.13,4.97,7.94,794.0,27.551800000000004,5.543621730382295,13552272000.0,1.2,6.6,0.0,0.0,0.2,0.0,1.0,15.5,14.8,30.3,4.5161290322580605,0.0,0.0,0.0
